nodenumber     x-coordinate     y-coordinate      temperature      mach-number         pressure 
         1  0.000000000E+00  0.000000000E+00  2.299828257E+03  2.995311805E-02  2.998430914E+06 
         2  5.454545211E-03  0.000000000E+00  2.299827543E+03  3.002002553E-02  2.998422788E+06 
         3  1.090909042E-02  0.000000000E+00  2.299825614E+03  3.019508503E-02  2.998401757E+06 
         4  1.636363563E-02  0.000000000E+00  2.299822535E+03  3.046602496E-02  2.998371377E+06 
         5  2.181818084E-02  0.000000000E+00  2.299818025E+03  3.085401800E-02  2.998328568E+06 
         6  2.727272605E-02  0.000000000E+00  2.299811938E+03  3.136771068E-02  2.998271603E+06 
         7  3.272727126E-02  0.000000000E+00  2.299804180E+03  3.200877686E-02  2.998199506E+06 
         8  3.818181647E-02  0.000000000E+00  2.299794543E+03  3.278701987E-02  2.998110724E+06 
         9  4.363636169E-02  0.000000000E+00  2.299782881E+03  3.370346344E-02  2.998002779E+06 
        10  4.909090690E-02  0.000000000E+00  2.299768659E+03  3.478803921E-02  2.997874239E+06 
        11  5.454545211E-02  0.000000000E+00  2.299752284E+03  3.599702145E-02  2.997721781E+06 
        12  5.999999732E-02  0.000000000E+00  2.299732421E+03  3.741055398E-02  2.997539891E+06 
        13  6.353845892E-02  0.000000000E+00  2.299717489E+03  3.844173197E-02  2.997404989E+06 
        14  6.707692052E-02  0.000000000E+00  2.299701388E+03  3.951986341E-02  2.997256404E+06 
        15  7.061538212E-02  0.000000000E+00  2.299683097E+03  4.071010782E-02  2.997089221E+06 
        16  7.415384372E-02  0.000000000E+00  2.299662533E+03  4.200827900E-02  2.996900685E+06 
        17  7.769230532E-02  0.000000000E+00  2.299639679E+03  4.340535608E-02  2.996691583E+06 
        18  8.123076693E-02  0.000000000E+00  2.299614179E+03  4.491277729E-02  2.996458555E+06 
        19  8.476922853E-02  0.000000000E+00  2.299585643E+03  4.654168957E-02  2.996197779E+06 
        20  8.830769013E-02  0.000000000E+00  2.299553695E+03  4.830015126E-02  2.995905874E+06 
        21  9.184615173E-02  0.000000000E+00  2.299517883E+03  5.019798539E-02  2.995578783E+06 
        22  9.538461333E-02  0.000000000E+00  2.299477669E+03  5.224689169E-02  2.995211583E+06 
        23  9.892307493E-02  0.000000000E+00  2.299432433E+03  5.445961238E-02  2.994798603E+06 
        24  1.024615365E-01  0.000000000E+00  2.299381451E+03  5.685023630E-02  2.994333259E+06 
        25  1.059999981E-01  0.000000000E+00  2.299323874E+03  5.943457678E-02  2.993807824E+06 
        26  1.095384597E-01  0.000000000E+00  2.299258706E+03  6.223033427E-02  2.993213218E+06 
        27  1.130769213E-01  0.000000000E+00  2.299184773E+03  6.525730955E-02  2.992538763E+06 
        28  1.166153829E-01  0.000000000E+00  2.299100691E+03  6.853769771E-02  2.991771852E+06 
        29  1.201538445E-01  0.000000000E+00  2.299004817E+03  7.209640838E-02  2.990897564E+06 
        30  1.236923061E-01  0.000000000E+00  2.298895202E+03  7.596141806E-02  2.989898188E+06 
        31  1.272307677E-01  0.000000000E+00  2.298769523E+03  8.016416983E-02  2.988752652E+06 
        32  1.307692293E-01  0.000000000E+00  2.298625007E+03  8.474002040E-02  2.987435812E+06 
        33  1.343076909E-01  0.000000000E+00  2.298458331E+03  8.972873391E-02  2.985917597E+06 
        34  1.378461525E-01  0.000000000E+00  2.298265508E+03  9.517501953E-02  2.984161968E+06 
        35  1.413846141E-01  0.000000000E+00  2.298041744E+03  1.011291133E-01  2.982125648E+06 
        36  1.449230757E-01  0.000000000E+00  2.297781258E+03  1.076473835E-01  2.979756593E+06 
