nodenumber     x-coordinate     y-coordinate      temperature      mach-number         pressure 
         1  0.000000000E+00  0.000000000E+00  2.099843192E+03  2.995299116E-02  2.998430927E+06 
         2  5.454545211E-03  0.000000000E+00  2.099842540E+03  3.001990038E-02  2.998422801E+06 
         3  1.090909042E-02  0.000000000E+00  2.099840779E+03  3.019496606E-02  2.998401770E+06 
         4  1.636363563E-02  0.000000000E+00  2.099837967E+03  3.046591629E-02  2.998371389E+06 
         5  2.181818084E-02  0.000000000E+00  2.099833850E+03  3.085392309E-02  2.998328580E+06 
         6  2.727272605E-02  0.000000000E+00  2.099828292E+03  3.136763378E-02  2.998271612E+06 
         7  3.272727126E-02  0.000000000E+00  2.099821208E+03  3.200872220E-02  2.998199514E+06 
         8  3.818181647E-02  0.000000000E+00  2.099812409E+03  3.278699179E-02  2.998110729E+06 
         9  4.363636169E-02  0.000000000E+00  2.099801760E+03  3.370346612E-02  2.998002781E+06 
        10  4.909090690E-02  0.000000000E+00  2.099788775E+03  3.478807814E-02  2.997874236E+06 
        11  5.454545211E-02  0.000000000E+00  2.099773823E+03  3.599709896E-02  2.997721773E+06 
        12  5.999999732E-02  0.000000000E+00  2.099755687E+03  3.741067666E-02  2.997539877E+06 
        13  6.353845892E-02  0.000000000E+00  2.099742053E+03  3.844188837E-02  2.997404971E+06 
        14  6.707692052E-02  0.000000000E+00  2.099727351E+03  3.952005316E-02  2.997256381E+06 
        15  7.061538212E-02  0.000000000E+00  2.099710650E+03  4.071033356E-02  2.997089192E+06 
        16  7.415384372E-02  0.000000000E+00  2.099691874E+03  4.200854445E-02  2.996900650E+06 
        17  7.769230532E-02  0.000000000E+00  2.099671007E+03  4.340566358E-02  2.996691540E+06 
        18  8.123076693E-02  0.000000000E+00  2.099647723E+03  4.491312918E-02  2.996458503E+06 
        19  8.476922853E-02  0.000000000E+00  2.099621667E+03  4.654208879E-02  2.996197718E+06 
        20  8.830769013E-02  0.000000000E+00  2.099592496E+03  4.830060093E-02  2.995905802E+06 
        21  9.184615173E-02  0.000000000E+00  2.099559797E+03  5.019848871E-02  2.995578698E+06 
        22  9.538461333E-02  0.000000000E+00  2.099523079E+03  5.224745213E-02  2.995211485E+06 
        23  9.892307493E-02  0.000000000E+00  2.099481775E+03  5.446023371E-02  2.994798489E+06 
