nodenumber     x-coordinate     y-coordinate      temperature      mach-number         pressure 
         1  0.000000000E+00  0.000000000E+00  2.199835724E+03  2.995305074E-02  2.998430921E+06 
         2  5.454545211E-03  0.000000000E+00  2.199835042E+03  3.001995888E-02  2.998422795E+06 
         3  1.090909042E-02  0.000000000E+00  2.199833197E+03  3.019502141E-02  2.998401765E+06 
         4  1.636363563E-02  0.000000000E+00  2.199830251E+03  3.046596679E-02  2.998371384E+06 
         5  2.181818084E-02  0.000000000E+00  2.199825937E+03  3.085396696E-02  2.998328575E+06 
         6  2.727272605E-02  0.000000000E+00  2.199820115E+03  3.136766892E-02  2.998271608E+06 
         7  3.272727126E-02  0.000000000E+00  2.199812694E+03  3.200874660E-02  2.998199511E+06 
         8  3.818181647E-02  0.000000000E+00  2.199803476E+03  3.278700331E-02  2.998110728E+06 
         9  4.363636169E-02  0.000000000E+00  2.199792320E+03  3.370346271E-02  2.998002781E+06 
        10  4.909090690E-02  0.000000000E+00  2.199778717E+03  3.478805708E-02  2.997874239E+06 
        11  5.454545211E-02  0.000000000E+00  2.199763053E+03  3.599705913E-02  2.997721778E+06 
        12  5.999999732E-02  0.000000000E+00  2.199744054E+03  3.741061467E-02  2.997539885E+06 
        13  6.353845892E-02  0.000000000E+00  2.199729771E+03  3.844180979E-02  2.997404982E+06 
        14  6.707692052E-02  0.000000000E+00  2.199714369E+03  3.951995823E-02  2.997256394E+06 
        15  7.061538212E-02  0.000000000E+00  2.199696873E+03  4.071022098E-02  2.997089208E+06 
        16  7.415384372E-02  0.000000000E+00  2.199677203E+03  4.200841232E-02  2.996900669E+06 
        17  7.769230532E-02  0.000000000E+00  2.199655343E+03  4.340551072E-02  2.996691564E+06 
        18  8.123076693E-02  0.000000000E+00  2.199630951E+03  4.491295439E-02  2.996458531E+06 
        19  8.476922853E-02  0.000000000E+00  2.199603655E+03  4.654189056E-02  2.996197751E+06 
        20  8.830769013E-02  0.000000000E+00  2.199573095E+03  4.830037767E-02  2.995905840E+06 
        21  9.184615173E-02  0.000000000E+00  2.199538839E+03  5.019823877E-02  2.995578743E+06 
        22  9.538461333E-02  0.000000000E+00  2.199500374E+03  5.224717373E-02  2.995211536E+06 
        23  9.892307493E-02  0.000000000E+00  2.199457103E+03  5.445992491E-02  2.994798549E+06 
        24  1.024615365E-01  0.000000000E+00  2.199408336E+03  5.685058130E-02  2.994333196E+06 
        25  1.059999981E-01  0.000000000E+00  2.199353262E+03  5.943495640E-02  2.993807750E+06 
        26  1.095384597E-01  0.000000000E+00  2.199290926E+03  6.223075089E-02  2.993213134E+06 
        27  1.130769213E-01  0.000000000E+00  2.199220206E+03  6.525776578E-02  2.992538665E+06 
        28  1.166153829E-01  0.000000000E+00  2.199139778E+03  6.853819645E-02  2.991771739E+06 
        29  1.201538445E-01  0.000000000E+00  2.199048071E+03  7.209695283E-02  2.990897433E+06 
        30  1.236923061E-01  0.000000000E+00  2.198943219E+03  7.596201181E-02  2.989898038E+06 
        31  1.272307677E-01  0.000000000E+00  2.198823003E+03  8.016481689E-02  2.988752478E+06 
        32  1.307692293E-01  0.000000000E+00  2.198684767E+03  8.474072527E-02  2.987435610E+06 
        33  1.343076909E-01  0.000000000E+00  2.198525334E+03  8.972950166E-02  2.985917364E+06 
